G;1;2021/03/01;Seguro coche;345,6;seguros;ING;A
G;2;2021/03/15;Chuletas y tomate;37,95;comida;BBVA;D
G;13;2021/04/01;Nómina;-1000;ingresos;BBVA;A
G;29;2021/04/19;Crema Dahlia;3,95;ropa;ING;A
G;12;2021/04/20;seguro hogar;134,95;seguros;ING;A
G;3;2021/04/29;Feria;11,95;ocio;ING;D
G;4;2021/05/01;Nomina;-1000;ingresos;ING;A
G;16;2021/05/03;bocadillos calamares;25,6;comida;BBVA;D
G;5;2021/05/12;Ropa de Dahlia;60,8;seguros;ING;A
G;6;2021/05/15;Panecillos;1,95;comida;BBVA;A
G;7;2021/05/15;pepitas;11,25;comida;BBVA;A
G;14;2021/05/17;Cañas gonzalo;3,95;ocio;BBVA;D
G;8;2021/05/18;Luz;48,7;recibos;BBVA;A
G;9;2021/05/18;Mercadona;42,05;comida;ING;A
G;10;2021/05/19;Cerveza;30,58;comida;BBVA;A
G;11;2021/05/19;pinturas;6,75;ocio;ING;D
G;15;2021/05/21;Sprays y miniaturas;48,3;ocio;BBVA;A
G;17;2021/05/22;Cosas2;48,3;ocio;BBVA;D
G;18;2021/05/23;Habitáculo cocina;193,25;varios;BBVA;A
G;19;2021/05/24;Cosas4;48,3;ocio;BBVA;D
G;30;2021/05/24;Jamón para Nacho;100,95;varios;BBVA;A
G;20;2021/05/26;Cosas5;48,3;ocio;BBVA;D
G;21;2021/05/26;Cosas6;48,3;ocio;BBVA;D
G;22;2021/05/26;Cosas7;48,3;ocio;BBVA;D
G;23;2021/05/26;Cosas8;48,3;ocio;BBVA;D
G;24;2021/05/26;Cosas9;48,3;ocio;BBVA;A
G;25;2021/05/26;Cosas10;48,3;ocio;BBVA;A
G;26;2021/05/26;Cosas11;48,3;ocio;BBVA;A
G;27;2021/05/26;Cosas12;48,3;ocio;BBVA;A
G;28;2021/05/26;Cosas13;48,3;ocio;BBVA;D
G;31;2021/05/29;entradas cine;8,9;ocio;ING;A
G;32;2021/05/30;Comida amigos;30,95;ocio;ING;A
G;1;2021/06/01;Luz previsión;40,95;recibos;BBVA;A
P;1;2021/06/01;Luz previsión;40,95;recibos;BBVA;D
P;2;2021/06/03;Recibo agua;30,32;recibos;BBVA;D
